,block_id,text,file,original_type,country,year,language,id,nr_words,topic_nr,topic_name,topic_category,Country,Alpha-2,Alpha-3,Numeric code,Latitude (average),Longitude (average),UN continental,UN statistical,Population_2018,Population_2019,Annex I or II,SIDS,DFID priority,World Bank Income,World Bank Region,Income group,food_score,Country Code,2021_gdp,Region
0,1,Agriculture is one of the main economic pillars of the Countryn economy contributing 19% to the country GDP (INSTAT 2019) and around one-third of employed people (nationwide) are in agriculture. Country ranks as one of the top ten countries in the world with the highest economic risk from multiple hazards: 88.5% of GDP generated and 86% of total territory is exposed to two or more disasters. The impact of disasters is increasing the vulnerability of Countryn citizens affected by them.,Albania_2021_ENG,.docx,Albania,2021,ENG,Albania_2021_ENG_1,82,24,Agricultural employment,Agriculture,Albania,AL,ALB,8.0,41.0,20.0,Europe,Southern Europe,"2,882,740","2,880,917",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,30.2,ALB,15810.4274320237,Europe
1,24,"The third stage meeting of the National Dialogue of the UN Food Systems Summit was convened on July 21, 2021, and brought together seventy-five participants of the previous two preparatory dialogues, who summarized and agreed on the findings. The event took place in person, combining with a virtual connection. Minister of Agriculture and Rural Development, Representatives from UN, UNDP, UN Women and FAO have attended in person the event. The National Dialogues outlined the key trends to ensure sustainable food systems in the country by 2030. The findings of the National Dialogues were summarised, and are compiled below.",Albania_2021_ENG,.docx,Albania,2021,ENG,Albania_2021_ENG_24,99,24,Agricultural employment,Agriculture,Albania,AL,ALB,8.0,41.0,20.0,Europe,Southern Europe,"2,882,740","2,880,917",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,30.2,ALB,15810.4274320237,Europe
2,97,"Public-Private Partnership (PPP) models will be considered as one of the best mechanisms of cooperation. Collaboration at the level of local actors and groups of interest will be in the focus as well. Connection with other documents Successful implementation of national strategies and programs, SDGs, as well as synergies between various sectors (agriculture/rural development, urban planning, nutrition, health etc. ), will contribute to the good health of the population. This will significantly help in improving livelihoods, especially in the rural areas, and boost the resilience of people towards climate change and different shocks that will follow the end of the pandemic.",Albania_2021_ENG,.docx,Albania,2021,ENG,Albania_2021_ENG_97,102,24,Agricultural employment,Agriculture,Albania,AL,ALB,8.0,41.0,20.0,Europe,Southern Europe,"2,882,740","2,880,917",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,30.2,ALB,15810.4274320237,Europe
3,6," d’affections d’origine alimentaire ont été observé Aussi, le Ministère de la Santé, conscient du niveau insuffisant de protection de la popula tion à l’égard de ces maladies, a mené, avec l’appui de l’OMS, une évaluation des systèmes nationaux de sécurité sanitaire des aliments un Plan National de Sécurité Sanitaire des Aliments (PNSSA) qui a abouti à l’élaboration d’ pour la période 2022-2027.",Algeria_2022_FR,.pdf,Algeria,2022,FR,Algeria_2022_FR_6,69,24,Agricultural employment,Agriculture,Algeria,DZ,DZA,12.0,28.0,3.0,Africa,Northern Africa,"42,228,408","43,053,054",Non-Annex I,,0.0,Upper-middle,Middle East & North Africa,Lower middle income,19.3,DZA,12128.2749912629,Africa
4,16,les carences nécessaires pour la plante et par conséquent satisfaire les besoins en eau des cultures. C’est ainsi que l’accroissement du nombre de stations d’épuration s’accompagne d’une production de quantités important actuellement à 200.000 tonnes /an.,Algeria_2022_FR,.pdf,Algeria,2022,FR,Algeria_2022_FR_16,42,24,Agricultural employment,Agriculture,Algeria,DZ,DZA,12.0,28.0,3.0,Africa,Northern Africa,"42,228,408","43,053,054",Non-Annex I,,0.0,Upper-middle,Middle East & North Africa,Lower middle income,19.3,DZA,12128.2749912629,Africa
5,0," It is an undeniable fact that agriculture in Country is the most important sector for the rural environment and in terms of contribution to the country's Gross Domestic Product (GDP). However, like total GDP, the gross agricultural production value decreased by 4% in 2020 compared to 2019 (see Figure 1).",Armenia_2021_ENG,.pdf,Armenia,2021,ENG,Armenia_2021_ENG_0,51,24,Agricultural employment,Agriculture,Armenia,AM,ARM,51.0,40.0,45.0,Asia,Western Asia,"2,951,745","2,957,731",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,7.1,ARM,15592.4873567251,Asia
6,12,"Food self-sufficiency Agriculture plays a primary role in maintaining national food security in Country. The country achieved high self-sufficiency levels in fruits, melons, grape, vegetables, potatoes, as well as lamb and eggs. However, the country still relies on imports of major food products like wheat, meat and milk. In 2019, one-third of national wheat consumption was covered through domestic production, while the rest was imported. Country’s self-sufficiency level in meat and milk improved in 2010-2016, reaching the highest level for beef meat: 96% of consumption covered by domestic production.",Armenia_2021_ENG,.pdf,Armenia,2021,ENG,Armenia_2021_ENG_12,95,24,Agricultural employment,Agriculture,Armenia,AM,ARM,51.0,40.0,45.0,Asia,Western Asia,"2,951,745","2,957,731",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,7.1,ARM,15592.4873567251,Asia
7,14," For the export of animal products of EU origin, an animal numbering register, a traceability system, monitoring of residues of veterinary medicines in live animals, a national residue plan should be in place, and the development vision must be realistic and in line with the available fiCountry'scial resources. For this purpose, it’s proposed to introduce a separate export system for EU countries according to",Armenia_2021_ENG,.pdf,Armenia,2021,ENG,Armenia_2021_ENG_14,66,24,Agricultural employment,Agriculture,Armenia,AM,ARM,51.0,40.0,45.0,Asia,Western Asia,"2,951,745","2,957,731",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,7.1,ARM,15592.4873567251,Asia
8,21," This is a new way of thinking and doing business that leverages on the problem of malnutrition and hunger to achieve multiple-gains; economic growth, jobs, education, and a healthier and productive population that is resilient to shocks, and recovers faster when they occur.",Armenia_2021_ENG,.pdf,Armenia,2021,ENG,Armenia_2021_ENG_21,44,24,Agricultural employment,Agriculture,Armenia,AM,ARM,51.0,40.0,45.0,Asia,Western Asia,"2,951,745","2,957,731",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,7.1,ARM,15592.4873567251,Asia
9,3," An aging and shrinking population in rural areas is another related problem, as, over the past few decades, migration of young people from villages to Country’s urban centres, Country, and other countries has been increasing. The agricultural sector must also contend with a legacy under-investment and multiple technical barriers.",Armenia_2021_ENG,.pdf,Armenia,2021,ENG,Armenia_2021_ENG_3,51,24,Agricultural employment,Agriculture,Armenia,AM,ARM,51.0,40.0,45.0,Asia,Western Asia,"2,951,745","2,957,731",Non-Annex I,,0.0,Upper-middle,Europe & Central Asia,Upper middle income,7.1,ARM,15592.4873567251,Asia
