Country,Adjectivals,Demonyms
Abkhazia,Abkhaz,Abkhazians
Abkhazia,Abkhazian,Abkhazians
Afghanistan,Afghan,Afghans
Albania,Albanian,Albanians
Algeria,Algerian,Algerians
American Samoa,American Samoan,American Samoans
Andorra,Andorran,Andorrans
Angola,Angolan,Angolans
Anguilla,Anguillan,Anguillans
Antarctica,Antarctic,Antarctic residents
Antigua and Barbuda,Antiguan,Antiguans
Antigua and Barbuda,Barbudan,Barbudans
Argentina,Argentine,Argentines
Argentina,Argentinian,Argentinians
Armenia,Armenian,Armenians
Aruba,Aruban,Arubans
Australia,Australian,Australians
Austria,Austrian,Austrians
Azerbaijan,Azerbaijani,Azerbaijanis
Azerbaijan,Azeri,Azeris
The Bahamas,Bahamian,Bahamians
Bahrain,Bahraini,Bahrainis
Bangladesh,Bangladeshi,Bangladeshis
Barbados,Barbadian,Barbadians
Belarus,Belarusian,Belarusians
Belgium,Belgian,Belgians
Flandres,Flemish,Flemish
Walloon,Walloon French,Walloon
Belize,Belizean,Belizeans
Benin,Beninese,Beninese
Benin,Beninois,Beninois
Bermuda,Bermudian,Bermudians
Bermuda,Bermudan,Bermudans
Bhutan,Bhutanese,Bhutanese
Bolivia,Bolivian,Bolivians
Bonaire,Bonaire,Bonaire Dutch
Bonaire,Bonairean,Dutch
Bosnia and Herzegovina,Bosnian,Bosnians
Bosnia and Herzegovina,Herzegovinian,Herzegovinians
Botswana,Botswana,Motswana
Botswana,Botswana,Batswana
Bouvet Island,Bouvet Island,Bouvet Islanders
Brazil,Brazilian,Brazilians
British Indian Ocean Territory,BIOT,British
Brunei,Bruneian,Bruneians
Bulgaria,Bulgarian,Bulgarians
Burkina Faso,Burkinab‚,BurkinabŠ
Burkina Faso,Burkinab‚,Burkinab‚
Burundi,Burundian,Burundians
Burundi,Burundian,Barundi
Cabo Verde,Cabo Verdean,Cabo Verdeans
Cambodia,Cambodian,Cambodians
Cameroon,Cameroonian,Cameroonians
Canada,Canadian,Canadians
Cayman Islands,Caymanian,Caymanians
