Country_English,Country_Arabic
Afghanistan,أفغانستان
Albania,ألبانيا
Algeria,الجزائر
American Samoa,ساموا-الأمريكي
Andorra,أندورا
Angola,أنجولا
Anguilla,أنجويلا
Antarctica,المنطقة القطبية الجنوبية
Antigua and Barbuda,أنتيغوا وباربودا
Argentina,الأرجنتين
Armenia,أرمينيا
Australia,أستراليا
Austria,النمسا
Azerbaijan,أذربيجان
Bahamas,باهاماس
Bahrain,البحرين
Bangladesh,بنجلاديش
Barbados,باربادوس
Belarus,بيلاروس
Belgium,بلجيكا
Belize,بيليز
Benin,بنين
Bermuda,برمودا
Bhutan,بوتان
Bolivia,بوليفيا
Bosnia and Herzegovina,البوسنة والهرسك
Botswana,بوتسوانا
Brazil,البرازيل
Brunei,بروناي
Bulgaria,بلغاريا
Burkina Faso,بوركينا فاسو
Burundi,بوروندي
Cambodia,كمبوديا
Cameroon,كاميرون
Canada,كندا
Cape Verde,الرأس الأخضر
Cayman Islands,جزر كايمان
Central African Republic,جمهورية أفريقيا الوسطى
Chad,تشاد
Chile,تشيلي
China,الصين
Colombia,كولومبيا
Comoros,جزر القمر
Democratic Republic of the Congo (Kinshasa),جمهورية الكونغو الديمقراطية
"Congo, Republic of (Brazzaville)",جمهورية الكونغو
Cook Islands,جزر كوك
Costa Rica,كوستاريكا
Ivory Coast (Cote d'Ivoire),ساحل العاج
Croatia,كرواتيا
Cuba,كوبا
Cyprus,قبرص
Czechia,التشيك
Denmark,الدنمارك
Djibouti,جيبوتي
Dominica,دومينيكا
Dominican Republic,جمهورية الدومينيكان
East Timor (Timor-Leste),تيمور الشرقية
Ecuador,الإكوادور
Egypt,مصر
El Salvador,السلفادور
Equatorial Guinea,غينيا الاستوائية
Eritrea,إريتريا
Estonia,إستونيا
Ethiopia,إثيوبيا
Falkland Islands,جزر فوكلاند
Faroe Islands,جزر فارو
Fiji,فيجي
Finland,فنلندا
France,فرنسا
French Guiana,غينيا الفرنسية
French Polynesia,بولينيزيا الفرنسية
Gabon,الغابون
Gambia,غامبيا
Georgia,جورجيا
Germany,ألمانيا
Ghana,غانا
Greece,اليونان
Greenland,جرينلاند
Grenada,غرينادا
Guadeloupe,غوادلوب
Guam,غوام
Guatemala,غواتيمال
Guinea,غينيا
Guinea-Bissau,غينيا بيساو
Guyana,غيانا
Haiti,هايتي
Honduras,هندوراس
Hong Kong,هونغ كونغ
Hungary,المجر
Iceland,أيسلندا
India,الهند
Indonesia,إندونيسيا
Iran (Islamic Republic of),إيران
Iraq,العراق
Ireland,جمهورية أيرلندا
Israel,إسرائيل
Italy,إيطاليا
Jamaica,جامايكا
Japan,اليابان
Jordan,الأردن
Kazakhstan,كازاخستان
Kenya,كينيا
Kiribati,كيريباتي
"Korea, Democratic People's Rep. (North Korea)",كوريا الشمالية
"Korea, Republic of (South Korea)",كوريا الجنوبية
Kuwait,الكويت
Kyrgyzstan,قيرغيزستان
Laos,لاوس
Latvia,لاتفيا
Lebanon,لبنان
Lesotho,ليسوتو
Liberia,ليبيريا
Libya,ليبيا
Liechtenstein,ليختنشتاين
Lithuania,ليتوانيا
Luxembourg,لوكسمبورغ
Macau,ماكاو
North Macedonia,مقدونيا الشمالية
Madagascar,مدغشقر
Malawi,مالاوي
Malaysia,ماليزيا
Maldives,المالديف
Mali,مالي
Malta,مالطا
Marshall Islands,جزر مارشال
Martinique,مارتينيك
Mauritania,موريتانيا
Mauritius,موريشيوس
Mayotte,مايوت
Mexico,المكسيك
"Mikronesien, Federated States of",ولايات ميكرونيسيا المتحدة
Moldova,مولدوفا
Monaco,موناكو
Mongolia,منغوليا
Montenegro,الجبل الأسو
Montserrat,مونتسرات
Morocco,المغرب
Mozambique,موزمبيق
"Myanmar, Burma",(بورما) ميانمار
Namibia,ناميبيا
Nauru,ناورو
Nepal,نيبال
Netherlands,هولندا
New Caledonia,كاليدونيا الجديدة
New Zealand,نيوزيلندا
Nicaragua,نيكاراجوا
Niger,النيجر
Nigeria,نيجيريا
Northern Mariana Islands,جزر ماريانا الشمالية
Norway,النرويج
Oman,عُمان
Pakistan,باكستان
Palau,بالاو
State of Palestine,دولة فلسطين
Panama,بنما
Papua New Guinea,بابوا غينيا الجديدة
Paraguay,باراغواي
Peru,بيرو
Philippines,الفلبين
Poland,بولندا
Portugal,البرتغال
Puerto Rico,بورتوريكو
Qatar,قطر
Réunion,ريونيون
Romania,رومانيا
Russian Federation,روسيا
Rwanda,رواندا
Saint Kitts and Nevis,سانت كيتس ونيفيس
Saint Lucia,سانت لوسيا
Saint Vincent and the Grenadines,سانت فينسنت والغرينادين
Samoa,ساموا
San Marino,سان مارينو
Sao Tome and Príncipe,ساو تومي وبرينسيب
Saudi Arabia,السعودية
Senegal,السنغال
Serbia,صربيا
Seychelles,سيشل
Sierra Leone,سيراليون
Singapore,سنغافورة
Slovakia (Slovak Republic),سلوفاكيا
Slovenia,سلوفينيا
Solomon Islands,جزر سليمان
Somalia,الصومال
South Africa,جنوب أفريقيا
South Sudan,جنوب السودان
Spain,إسبانيا
Sri Lanka,سريلانكا
Sudan,السودان
Suriname,سورينام
Swaziland (Eswatini),سوازيلند (إسواتيني)
Sweden,السويد
Switzerland,سويسرا
"Syria, Syrian Arab Republic",سوريا
Taiwan (Republic of China),تايوان
Tajikistan,طاجيكستان
Tanzania,تنزانيا
Thailand,تايلاند
Tibet,التبت
Timor-Leste (East Timor),تيمور الشرقية
Togo,توغو
Tonga,تونغا
Trinidad and Tobago,ترينيداد وتوباغو
Tunisia,تونس
