Pays,Gentilés_m,Gentilés_f
l’Afghanistan,Afghan,Afghane
l’Afrique du Sud,Sudafricain,Sudafricaine  
l’Afrique du Sud,Sud-Africain,Sud-Africaine
l’Albanie,Albanais,Albanaise
l’Algérie,Algérien,Algérienne
l’Allemagne,Allemand,Allemande
Andorre,Andorran,Andorranne
l’Angleterre,Anglais,Anglaise
l’Angola,Angolais,Angolaise
l’Antigua-et-Barbuda,Antiguayen,Antiguayenne
l’Arabie saoudite,Saoudien,Saoudienne
l’Argentine,Argentin,Argentine
l’Arménie,Arménien,Arménienne
l’Australie,Australien,Australienne
l’Autriche,Autrichien,Autrichienne
l’Azerbaïdjan,Azerbaïdjanais,Azerbaïdjanaise
les Bahamas,Bahaméen,Bahaméenne
le Bahreïn,Bahreïnien,Bahreïnienne
le Bangladesh,Bangladais,Bangladaise
la Barbade,Barbadien,Barbadienne
la Belgique,Belge,
le Belize,Bélizien,Bélizienne
le Bénin,Béninois,Béninoise
le Bhoutan,Bhoutanais,Bhoutanaise
la Biélorussie,Biélorusse,
Myanmar,Birman,Birmane
la Birmanie,Birman,Birmane
la Bolivie,Bolivien,Bolivienne
la Bosnie-Herzégovine,Bosnien,Bosnienne
le Botswana,Botswanais,Botswanaise
le Brésil,Brésilien,Brésilienne
le Brunei,Brunéien,Brunéienne
la Bulgarie,Bulgare,
le Burkina Faso,Burkinabé,Burkinabée  
le Burkina Faso,Burkinais,Burkinaise
le Burundi,Burundais,Burundaise
le Cambodge,Cambodgien,Cambodgienne
le Cameroun,Camerounais,Camerounaise
le Canada,Canadien,Canadienne
le Cap-Vert,Cap-Verdien,Cap-Verdienne
le Chili,Chilien,Chilienne
la Chine,Chinois,Chinoise
Chypre,Chypriotes ou Cypriotes,
la Colombie,Colombien,Colombienne
les Comores,Comorien,Comorienne
le Congo,Congolais,Congolaise
la Corée du Nord,Nord-Coréen,Nord-Coréenne
la Corée du Sud,Sud-Coréen,Sud-Coréenne
le Costa Rica,Costaricien,Costaricienne
la Côte d’Ivoire,Ivoirien,Ivoirienne
la Croatie,Croate,
Cuba,Cubain,Cubaine
le Danemark,Danois,Danoise
Djibouti,Djiboutien,Djiboutienne
la Dominique,Dominiquais,Dominiquaise
l’Écosse,Écossais,Écossaise
l’Égypte,Égyptien,Égyptienne
les Émirats arabes unis,Émirien,Émirienne  
les Émirats arabes unis (m. pl.),Émirati,
l’Équateur,Équatorien,Équatorienne
l’Érythrée,Érythréen,Érythréenne
l’Espagne,Espagnol,Espagnole
l’Estonie,Estonien,Estonienne
les États-Unis,Américain,Américaine
l’Éthiopie,Éthiopien,Éthiopienne
la Finlande,Finlandais,Finlandaise
la France,Français,Française
le Gabon,Gabonais,Gabonaise
la Gambie,Gambien,Gambienne
la Géorgie,Géorgien,Géorgienne
le Ghana,Ghanéen,Ghanéenne
la Grenade,Grenadin,Grenadine  
"Grenadien, Grenadienne",Grenadien,Grenadienne
le Groenland,Groenlandais,Groenlandaise
la Grèce,Grec,Grecque
le Guatemala,Guatémaltèque,
la Guinée,Guinéen,Guinéenne
la Guinée équatoriale,Équatoguinéen,Équatoguinéenne
la Guinée-Bissau,Bissau-Guinéen,Bissau-Guinéenne
la Guyane,Guyanais,Guyanaise
Haïti,Haïtien,Haïtienne
le Honduras,Hondurien,Hondurienne
Hong Kong,Hongkongais,Hongkongaise
la Hongrie,Hongrois,Hongroise
l’Île Maurice,Mauricien,Mauricienne
les Îles Féroé,Féringien,Féringienne
les Îles Fidji,Fidjien,Fidjienne
les Îles Marshall,Marshallais,Marshallaise
l’Inde,Indien,Indienne
l’Indonésie,Indonésien,Indonésienne
l’Irak,Irakien,Irakienne  
l’Irak,Iraquien,Iraquienne
l’Iran,Iranien,Iranienne
l’Irlande,Irlandais,Irlandaise
l’Irlande du Nord,Nord-Irlandais,Nord-Irlandaise
l’Islande,Islandais,Islandaise
Israël,Israëlien,Israëlienne
l’Italie,Italien,Italienne
la Jamaïque,Jamaïcain,Jamaïcaine
le Japon,Japonais,Japonaise
la Jordanie,Jordanien,Jordanienne
le Kazakhstan,Kazakh,Kazakhe  
le Kazakhstan,Kazakhstanais,Kazakhstanaise
le Kenya,Kényan,Kényane
le Kirghizistan,Kirghize,
les Kiribati,Gilbertin,Gilbertine
le Kosovo,Kosovar,Kosovare
le Koweït,Koweïtien,Koweïtienne
le Kurdistan,Kurde,
le Laos,Laotien,Laotienne
le Lesotho,Mosotho,Plural Basotho
la Lettonie,Letton,Lettone
le Liban,Libanais,Libanaise
le Liberia,Libérien,Libérienne
la Libye,Libyen,Libyenne
le Liechtenstein,Liechtensteinois,Liechtensteinoise
la Lituanie,Lituanien,Lituanienne
le Luxembourg,Luxembourgeois,Luxembourgeoise
Macao,Macanais,Macanaise
la Macédoine,Macédonien,Macédonienne
Madagascar,Malgache,Malagasy
la Malaisie,Malaisien,Malaisienne
le Malawi,Malawites ,
le Malawi,Malawien,Malawienne
les Maldives,Maldivien,Maldivienne
le Mali,Malien,Malienne
Malte,Maltais,Maltaise
le Maroc,Marocain,Marocaine
la Mauritanie,Mauritanien,Mauritanienne
le Mexique,Mexicain,Mexicaine
la Moldavie,Moldave,
Monaco,Monégasque,
la Mongolie,Mongol,Mongole
le Monténégro,Monténégrin,Monténégrine
le Mozambique,Mozambicain,Mozambicaine
la Namibie,Namibien,Namibienne
Nauru,Nauruan,Nauruane
le Népal,Népalais,Népalaise
le Nicaragua,Nicaraguayen,Nicaraguayenne
le Niger,Nigérien,Nigérienne
le Nigeria,Nigérian,Nigériane
la Norvège,Norvégien,Norvégienne
la Nouvelle-Zélande,Néozélandais,Néozélandaise
la Nouvelle-Zélande,Néo-Zélandais,Néo-Zélandaise
Oman,Omanais,Omanaise
l’Ouganda,Ougandais,Ougandaise
l’Ouzbékistan,Ouzbek,Ouzbèke
le Pakistan,Pakistanais,Pakistanaise
les Palaos,Paluan,Paluane
la Palestine,Palestinien,Palestinienne
le Panama,Panaméen,Panaméenne
