Country_full,Country_simple,Gentilicio_first,Gentilioco_alternative
Afganist n,Afganist n,afgano,afgana
Albania (Rep£blica de),Albania ,alban‚s,albanesa
Alemania (Rep£blica Federal de),Alemania ,alem n,
Andorra (Principado de),Andorra ,andorrano,andorrana
Angola (Rep£blica de),Angola ,angole¤o,angole¤a
Antigua y Barbuda,Antigua y Barbuda,antiguano,antiguana
Arabia Saud¡ (Reino de),Arabia Saud¡ ,saud¡,
Argelia,Argelia,argelino,argelina
Argentina (Rep£blica),Argentina ,argentino,argentina
Armenia (Rep£blica de),Armenia ,armenio,armeniia
Australia (Commonwealth de),Australia ,australiano,australiana
Austria (Rep£blica de),Austria ,austriaco,austriaca
Azerbaiy n (Rep£blica de),Azerbaiy n ,azerbaiyano,azerbaiyana
Bahamas (Commonwealth de las),Bahamas ,bahame¤o,bahame¤a
Banglad‚s,Banglad‚s,banglades¡,
Barbados,Barbados,barbadense,
Bar‚in (Reino de),Bar‚in ,barein¡,
B‚lgica (Reino de),B‚lgica ,belga,
Belice,Belice,belice¤o,belice¤a
Ben¡n (Rep£blica de),Ben¡n ,benin‚s,beninesa
Biolerrusia (Republica de),Biolerrusia ,bielorruso,bielorrusa
"Bolivia, (Estado Plurinacional de)","Bolivia, ",boliviano,boliviana
Bosnia y Herzegovina,Bosnia y Herzegovina,bosnioherzegovino,bosnioherzegovina
Botsuana (Rep£blica de),Botsuana ,botsuano,botsuana
Brasil (Rep£blica Federativa de),Brasil ,brasile¤o,brasile¤a
Brun‚i,Brun‚i,bruneano,bruneana
Bulgaria (Rep£blica de),Bulgaria ,b£lgaro,b£lgara
Burkina Faso,Burkina Faso,burkin‚s,burkinesa
Burundi (Rep£blica de),Burundi ,burund‚s,burundesa
But n (Reino de),But n ,butan‚s,butanesa
Cabo Verde (Rep£blica de),Cabo Verde ,caboverdiano,caboverdiana
Camboya (Reino de),Camboya ,camboyano,camboyana
Camer£n (Rep£blica de),Camer£n ,camerun‚s,camerunesa
Canad ,Canad ,canadiense,
Chad (Rep£blica de),Chad ,chadiano,chadiana
Chile (Rep£blica de),Chile ,chileno,chilena
China (Rep£blica Popular),China ,chino,china
Chipre (Rep£blica de),Chipre ,chipriota,
Colombia (Rep£blica de),Colombia ,colombiano,colombiana
Comoras (Uni¢n de las),Comoras ,comorense,
Congo (Rep£blica Democr tica del),Congo ,congole¤o,congole¤a
Corea del Norte,Corea del Norte,de la Rep£blica Popular Democr tica de Corea,
Corea del Sur,Corea del Sur,de la Rep£blica de Corea,
Costa de Marfil (Rep£blica de),Costa de Marfil ,costamarfile¤o,costamarfile¤a
Costa Rica (Rep£blica de),Costa Rica ,costarricense,
Croacia (Rep£blica de),Croacia ,croata,
Cuba (Rep£blica de),Cuba ,cubano,cubana
Dinamarca (Reino de),Dinamarca ,dan‚s,danesa
Dominica (Commonwealth de),Dominica ,dominiqu‚s,dominiquesa
Ecuador (Rep£blica del),Ecuador ,ecuatoriano,ecuatoriana
"Egipto, (Rep£blica ?rabe de)","Egipto, ",egipcio,egipcicia
El Salvador (Rep£blica de),El Salvador ,salvadore¤o,salvadore¤a
Emiratos ?rabes Unidos (EAU),Emiratos ?rabes Unidos ,emirat¡,
Eritrea (Estado de),Eritrea ,eritreo,eritrea
Escocia,Escocia,escoc‚s,escocesa
Eslovaquia (Rep£blica de),Eslovaquia ,eslovaco,eslovaca
Eslovenia (Rep£blica de),Eslovenia ,esloveno,eslovena
Espa¤a (Reino de),Espa¤a ,espa¤ol,espa¤ola
Estados Unidos de Am‚rica,Estados Unidos de Am‚rica,estadounidense,
Estonia (Rep£blica de),Estonia ,estonio,estoniia
Esuatini (Reino de),Esuatini ,esuatin¡,
Etiop¡a (Rep£blica Democr tica Federal de),Etiop¡a ,et¡ope,
Filipinas (Rep£blica de),Filipinas ,filipino,filipina
Finlandia (Rep£blica de),Finlandia ,finland‚s,finlandesa
Fiyi (Rep£blica de),Fiyi ,fiyiano,fiyiana
Francia ,Francia ,franc‚s,francesa
Gab¢n,Gab¢n,gabon‚s,gabonesa
Gales,Gales,gal‚s,galesa
"Gambia, (Rep£blica de)","Gambia, ",gambiano,gambiana
Georgia,Georgia,georgiano,georgiana
Ghana (Rep£blica de),Ghana ,ghan‚s,ghanesa
Granada,Granada,granadino,granadina
Grecia,Grecia,griego,griegga
Groenlandia,Groenlandia,groenland‚s,groenlandesa
Guatemala (Rep£blica de),Guatemala ,guatemalteco,guatemaltecca
Guinea (Rep£blica de),Guinea ,guineano,guineanna
